,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
30650,3308693,1886,prior,1,4,8,
30651,1019221,1886,prior,2,3,8,6.0
30652,3410026,1886,prior,3,3,10,7.0
30653,2727369,1886,prior,4,1,8,5.0
30654,94907,1886,prior,5,1,16,7.0
30655,3085430,1886,prior,6,1,9,7.0
30656,1463979,1886,prior,7,1,9,7.0
30657,1022421,1886,prior,8,4,16,3.0
30658,154497,1886,prior,9,4,13,7.0
30659,1953228,1886,prior,10,4,14,21.0
30660,2503547,1886,prior,11,4,11,7.0
30661,3039204,1886,prior,12,5,9,8.0
30662,2980434,1886,prior,13,1,11,10.0
30663,1479036,1886,prior,14,1,8,7.0
30664,1140541,1886,prior,15,3,10,2.0
30665,3402860,1886,prior,16,1,8,5.0
30666,1575156,1886,prior,17,4,14,3.0
30667,2464687,1886,prior,18,2,14,5.0
30668,2768207,1886,prior,19,4,13,2.0
30669,3207295,1886,prior,20,2,8,5.0
30670,770267,1886,prior,21,1,11,13.0
30671,792657,1886,prior,22,2,11,1.0
30672,3098720,1886,prior,23,2,9,7.0
30673,2697545,1886,prior,24,3,8,1.0
30674,1988333,1886,prior,25,4,8,15.0
30675,2721182,1886,prior,26,4,8,14.0
30676,2490147,1886,train,27,3,13,30.0
90563,1011779,5485,prior,1,3,18,
90564,333779,5485,prior,2,4,9,30.0
90565,2076621,5485,prior,3,1,12,30.0
90566,420648,5485,prior,4,3,18,9.0
90567,2038243,5485,prior,5,0,12,11.0
90568,1968246,5485,prior,6,3,9,10.0
90569,1282427,5485,prior,7,0,11,11.0
90570,1373808,5485,prior,8,3,11,17.0
90571,1732888,5485,prior,9,4,12,29.0
90572,132974,5485,prior,10,0,12,17.0
90573,454511,5485,prior,11,6,17,6.0
90574,2059525,5485,prior,12,6,17,14.0
90575,2858907,5485,prior,13,2,14,17.0
90576,1047977,5485,prior,14,1,17,20.0
90577,129018,5485,prior,15,4,10,10.0
90578,1538279,5485,prior,16,3,14,13.0
90579,1198625,5485,train,17,5,15,2.0
527909,954780,31817,prior,1,3,11,
527910,2020198,31817,prior,2,3,18,28.0
527911,281802,31817,prior,3,2,13,13.0
527912,3185872,31817,prior,4,5,15,30.0
527913,675709,31817,train,5,4,9,30.0
1111136,274046,66852,prior,1,4,16,
1111137,1347168,66852,prior,2,0,11,30.0
1111138,1150031,66852,prior,3,4,22,11.0
1111139,3007090,66852,prior,4,6,17,30.0
1111140,3140182,66852,prior,5,6,12,7.0
1111141,623931,66852,prior,6,1,15,16.0
1111142,266076,66852,prior,7,0,13,30.0
1111143,59551,66852,prior,8,1,14,1.0
1111144,1421453,66852,test,9,2,16,1.0
1755142,1748765,105334,prior,1,0,14,
1755143,2921144,105334,prior,2,2,9,16.0
1755144,1688830,105334,prior,3,2,18,0.0
1755145,2243858,105334,prior,4,3,14,30.0
1755146,1752305,105334,prior,5,3,17,30.0
1755147,381776,105334,prior,6,5,11,30.0
1755148,604556,105334,prior,7,2,11,30.0
1755149,491630,105334,test,8,6,15,30.0
1932256,2601663,116047,prior,1,4,20,
1932257,2300455,116047,prior,2,2,18,30.0
1932258,2991595,116047,prior,3,0,15,12.0
1932259,1812987,116047,prior,4,0,9,30.0
1932260,2498235,116047,train,5,1,6,8.0
2001032,3345360,120239,prior,1,0,13,
2001033,1782095,120239,prior,2,5,10,5.0
2001034,1443471,120239,prior,3,0,16,30.0
2001035,3016669,120239,train,4,0,9,14.0
2207690,2072819,132963,prior,1,0,10,
2207691,2412592,132963,prior,2,4,23,4.0
2207692,3158326,132963,prior,3,2,20,19.0
2207693,703896,132963,prior,4,1,19,6.0
2207694,1897826,132963,prior,5,0,17,13.0
2207695,2745139,132963,prior,6,1,19,29.0
2207696,1401015,132963,prior,7,3,20,23.0
2207697,1128127,132963,prior,8,0,14,18.0
2207698,2407099,132963,prior,9,1,6,15.0
2207699,607926,132963,prior,10,4,20,3.0
2207700,695012,132963,prior,11,5,21,1.0
2207701,136453,132963,prior,12,6,7,15.0
2207702,1465543,132963,prior,13,6,10,21.0
2207703,924308,132963,prior,14,6,13,0.0
2207704,3381512,132963,prior,15,0,10,1.0
2207705,2621618,132963,prior,16,6,7,6.0
2207706,598959,132963,prior,17,6,15,0.0
2207707,1768002,132963,prior,18,1,15,9.0
2207708,2035103,132963,prior,19,4,19,10.0
2207709,54652,132963,prior,20,6,11,9.0
2207710,1876233,132963,prior,21,6,11,0.0
2207711,311819,132963,prior,22,4,19,5.0
2207712,2158279,132963,prior,23,2,17,5.0
2207713,2667199,132963,prior,24,3,20,8.0
2207714,1345650,132963,prior,25,6,12,3.0
2207715,1448926,132963,prior,26,6,13,0.0
2207716,2180598,132963,prior,27,3,20,4.0
2207717,2268936,132963,prior,28,1,15,12.0
2207718,2958724,132963,prior,29,2,19,1.0
2207719,2147193,132963,prior,30,0,8,5.0
2207720,446487,132963,prior,31,0,17,7.0
2207721,361915,132963,prior,32,0,11,7.0
2207722,2633485,132963,prior,33,4,9,4.0
2207723,2300796,132963,prior,34,1,17,11.0
2207724,1464030,132963,prior,35,3,16,2.0
2207725,1003646,132963,prior,36,3,19,0.0
2207726,1243638,132963,prior,37,0,17,4.0
2207727,2027430,132963,prior,38,0,11,21.0
2207728,2095040,132963,prior,39,0,10,21.0
2207729,817512,132963,prior,40,0,9,7.0
2207730,3074496,132963,prior,41,1,18,8.0
2207731,2139942,132963,prior,42,1,21,0.0
2207732,1299027,132963,prior,43,3,18,9.0
2207733,731299,132963,prior,44,3,19,0.0
2207734,2117459,132963,prior,45,0,10,4.0
2207735,2947131,132963,prior,46,0,16,0.0
2207736,852644,132963,prior,47,2,16,9.0
2207737,1914409,132963,prior,48,3,15,1.0
2207738,878107,132963,train,49,0,20,4.0
2232297,637461,134477,prior,1,6,21,
2232298,810776,134477,prior,2,2,20,3.0
2232299,609649,134477,prior,3,1,21,13.0
2232300,601980,134477,prior,4,0,21,6.0
2232301,1671384,134477,prior,5,6,7,6.0
2232302,514064,134477,prior,6,3,7,4.0
2232303,2348317,134477,prior,7,0,21,4.0
2232304,3269560,134477,prior,8,2,15,2.0
2232305,1272995,134477,prior,9,0,20,12.0
2232306,1061105,134477,prior,10,4,21,11.0
2232307,878486,134477,prior,11,0,20,3.0
2232308,3310901,134477,prior,12,0,21,7.0
2232309,3161775,134477,prior,13,0,21,7.0
2232310,723841,134477,prior,14,1,6,8.0
2232311,2175236,134477,test,15,1,12,21.0
2472700,2633104,148811,prior,1,2,14,
2472701,2211531,148811,prior,2,0,16,5.0
2472702,2928889,148811,prior,3,1,14,30.0
2472703,2374648,148811,prior,4,0,14,20.0
2472704,2271304,148811,prior,5,0,14,28.0
2472705,2230209,148811,prior,6,0,15,28.0
2472706,2652346,148811,prior,7,4,16,30.0
2472707,2841941,148811,prior,8,2,14,30.0
2472708,2972643,148811,train,9,0,15,12.0
2554722,57803,153720,prior,1,1,10,
2554723,3020607,153720,prior,2,2,18,30.0
2554724,1010532,153720,prior,3,4,12,30.0
2554725,848978,153720,prior,4,1,11,11.0
2554726,1131565,153720,prior,5,2,16,30.0
2554727,2197068,153720,prior,6,5,12,3.0
2554728,968874,153720,prior,7,3,15,19.0
2554729,1239648,153720,prior,8,1,12,30.0
2554730,2015145,153720,prior,9,2,10,29.0
2554731,2745834,153720,train,10,1,11,30.0
2671389,3312648,160817,prior,1,1,10,
2671390,1389589,160817,prior,2,1,10,7.0
2671391,766709,160817,prior,3,0,21,6.0
2671392,3364036,160817,prior,4,4,19,4.0
2671393,2422012,160817,prior,5,1,14,4.0
2671394,1543567,160817,prior,6,6,12,5.0
2671395,1662678,160817,prior,7,4,16,30.0
2671396,422777,160817,prior,8,1,21,11.0
2671397,317373,160817,prior,9,2,21,8.0
2671398,2541239,160817,prior,10,2,13,7.0
2671399,406671,160817,prior,11,1,10,6.0
2671400,2116661,160817,prior,12,5,12,11.0
2671401,1654564,160817,prior,13,1,22,17.0
2671402,1353970,160817,prior,14,3,13,9.0
2671403,35204,160817,prior,15,5,16,9.0
2671404,2856695,160817,prior,16,2,11,11.0
2671405,2335073,160817,prior,17,1,8,6.0
2671406,129196,160817,prior,18,5,10,11.0
2671407,335164,160817,prior,19,0,9,2.0
2671408,2300424,160817,prior,20,4,12,4.0
2671409,1077503,160817,prior,21,5,10,15.0
2671410,2951639,160817,prior,22,5,16,7.0
2671411,1485718,160817,prior,23,2,7,4.0
2671412,40262,160817,prior,24,6,12,4.0
2671413,1244451,160817,prior,25,3,11,11.0
2671414,2474250,160817,prior,26,0,15,4.0
2671415,594407,160817,prior,27,0,13,7.0
2671416,1360848,160817,prior,28,1,17,1.0
2671417,2988306,160817,prior,29,6,12,12.0
2671418,2172036,160817,prior,30,0,19,8.0
2671419,100031,160817,prior,31,3,16,3.0
2671420,2685812,160817,prior,32,0,10,4.0
2671421,2006906,160817,prior,33,3,9,3.0
2671422,463220,160817,prior,34,1,14,5.0
2671423,1816831,160817,prior,35,1,17,14.0
2671424,805809,160817,prior,36,1,17,7.0
2671425,2789999,160817,prior,37,5,8,18.0
2671426,3089611,160817,prior,38,1,21,10.0
2671427,1118446,160817,prior,39,4,14,10.0
2671428,2710035,160817,prior,40,5,10,8.0
2671429,2130204,160817,prior,41,3,20,5.0
2671430,283679,160817,prior,42,3,19,7.0
2671431,2197447,160817,train,43,3,10,14.0
2875076,990830,173462,prior,1,0,20,
2875077,2699814,173462,prior,2,4,7,30.0
2875078,1473313,173462,prior,3,1,14,30.0
2875079,1479364,173462,prior,4,0,19,30.0
2875080,1906785,173462,test,5,4,7,30.0
2875765,1859843,173515,prior,1,5,13,
2875766,3186787,173515,prior,2,5,15,7.0
2875767,2494756,173515,prior,3,5,16,14.0
2875768,1377241,173515,prior,4,2,11,4.0
2875769,750249,173515,prior,5,5,13,17.0
2875770,1621899,173515,prior,6,1,16,10.0
2875771,1868091,173515,prior,7,4,13,3.0
2875772,3019942,173515,prior,8,5,13,15.0
2875773,2725203,173515,prior,9,5,14,7.0
2875774,2707099,173515,prior,10,5,14,7.0
2875775,63222,173515,prior,11,2,8,11.0
2875776,3315907,173515,prior,12,5,10,3.0
2875777,322157,173515,prior,13,5,13,7.0
2875778,2819427,173515,prior,14,5,15,7.0
2875779,2945329,173515,prior,15,2,15,11.0
2875780,2711531,173515,prior,16,1,10,6.0
2875781,128124,173515,prior,17,4,11,3.0
2875782,892435,173515,prior,18,0,23,17.0
2875783,2474900,173515,prior,19,1,6,8.0
2875784,3075440,173515,prior,20,5,17,4.0
2875785,339541,173515,prior,21,1,15,3.0
2875786,2101436,173515,prior,22,1,9,7.0
2875787,1410976,173515,prior,23,1,9,7.0
2875788,427980,173515,prior,24,5,9,4.0
2875789,2713712,173515,prior,25,5,14,7.0
2875790,1779490,173515,prior,26,2,9,18.0
2875791,1930236,173515,prior,27,1,10,6.0
2875792,672389,173515,prior,28,4,7,10.0
2875793,792785,173515,prior,29,0,16,3.0
2875794,964682,173515,prior,30,0,20,14.0
2875795,276161,173515,prior,31,1,10,8.0
2875796,1519799,173515,prior,32,5,15,4.0
2875797,36495,173515,prior,33,5,15,7.0
2875798,105823,173515,prior,34,5,15,7.0
2875799,237760,173515,prior,35,5,14,7.0
2875800,2728642,173515,prior,36,5,13,7.0
2875801,1833085,173515,prior,37,1,9,17.0
2875802,3288490,173515,prior,38,5,10,4.0
2875803,1813880,173515,prior,39,5,15,7.0
2875804,972975,173515,prior,40,5,11,7.0
2875805,3369100,173515,prior,41,5,15,7.0
2875806,1822432,173515,prior,42,4,18,6.0
2875807,3007760,173515,prior,43,5,15,8.0
2875808,1933632,173515,prior,44,3,9,12.0
2875809,2002611,173515,train,45,5,15,9.0
2966515,1558665,179033,prior,1,2,12,
2966516,602001,179033,prior,2,3,16,8.0
2966517,2626299,179033,prior,3,1,10,19.0
2966518,164229,179033,prior,4,3,14,16.0
2966519,1323738,179033,prior,5,2,10,27.0
2966520,734398,179033,prior,6,5,15,10.0
2966521,1080490,179033,prior,7,4,17,13.0
2966522,3273233,179033,prior,8,5,14,15.0
2966523,820243,179033,prior,9,1,12,10.0
2966524,407415,179033,prior,10,5,10,18.0
2966525,900939,179033,prior,11,1,12,10.0
2966526,1530365,179033,prior,12,1,10,14.0
2966527,2093896,179033,prior,13,4,11,10.0
2966528,1180855,179033,prior,14,1,16,30.0
2966529,1224671,179033,prior,15,5,14,30.0
2966530,2882606,179033,prior,16,5,12,14.0
2966531,8938,179033,prior,17,3,10,12.0
2966532,1514915,179033,prior,18,2,9,13.0
2966533,3100808,179033,prior,19,3,13,15.0
2966534,1858830,179033,prior,20,3,9,21.0
2966535,1971863,179033,test,21,2,14,13.0
2986000,1171609,180162,prior,1,4,14,
2986001,2961987,180162,prior,2,0,8,17.0
2986002,602464,180162,prior,3,1,14,30.0
2986003,317187,180162,prior,4,5,8,30.0
2986004,1740156,180162,prior,5,4,10,30.0
2986005,1991531,180162,prior,6,5,12,8.0
2986006,1008861,180162,prior,7,1,8,30.0
2986007,2469440,180162,prior,8,5,12,18.0
2986008,2536311,180162,prior,9,0,10,23.0
2986009,3172203,180162,prior,10,5,12,30.0
2986010,204725,180162,prior,11,4,17,13.0
2986011,3145619,180162,prior,12,4,17,0.0
2986012,634754,180162,prior,13,5,8,15.0
2986013,2586025,180162,prior,14,6,7,29.0
2986014,1888782,180162,train,15,3,8,11.0
3075315,2956466,185476,prior,1,3,11,
3075316,1187511,185476,prior,2,3,17,7.0
3075317,3417669,185476,prior,3,3,23,7.0
3075318,579991,185476,prior,4,0,17,11.0
3075319,706031,185476,prior,5,0,8,7.0
3075320,474279,185476,prior,6,6,22,6.0
3075321,3240738,185476,prior,7,3,16,30.0
3075322,813172,185476,prior,8,1,19,19.0
3075323,1506779,185476,prior,9,2,8,29.0
3075324,2247412,185476,train,10,4,16,2.0
3106787,174676,187351,prior,1,5,7,
3106788,786280,187351,prior,2,6,17,15.0
3106789,3300700,187351,prior,3,0,19,15.0
3106790,1624985,187351,test,4,5,12,12.0
3148402,2911656,189852,prior,1,6,14,
3148403,1540682,189852,prior,2,2,7,30.0
3148404,307904,189852,prior,3,6,17,4.0
3148405,1377814,189852,prior,4,5,8,6.0
3148406,2485877,189852,prior,5,3,10,5.0
3148407,681117,189852,prior,6,6,13,3.0
3148408,671648,189852,prior,7,2,18,3.0
3148409,95582,189852,prior,8,4,15,9.0
3148410,2978495,189852,prior,9,2,9,5.0
3148411,493651,189852,prior,10,5,11,3.0
3148412,707716,189852,prior,11,1,15,3.0
3148413,2292297,189852,prior,12,3,12,2.0
3148414,2269963,189852,prior,13,6,10,3.0
3148415,1391419,189852,prior,14,6,15,7.0
3148416,2930559,189852,train,15,5,13,6.0
3296458,2112047,198654,prior,1,0,12,
3296459,2935750,198654,prior,2,2,15,30.0
3296460,2086465,198654,prior,3,1,13,30.0
3296461,3345363,198654,prior,4,0,11,27.0
3296462,1867239,198654,prior,5,2,19,30.0
3296463,1047798,198654,train,6,3,16,8.0
